word,freq
DHEA,15.0
B,43277.0
D,18498.0
F,81898.0
G,9701.0
Q,36458.0
R,232912.0
b,22827.0
d,49022.0
e,3615.0
f,3654.0
g,14912.0
i,3030.0
o,7491.0
q,118278.0
r,9012.0
DHFT,14.0
s,297584.0
u,5660.0
x,215342.0
gr/kg,2.0
DIAG,907.0
DICT,3.0
DIC/,31.0
DIDN,3.0
DIFF,212.0
DILY,1.0
DISP,4.0
DISC,122.0
DISH,257.0
/h,23.0
/p,116.0
/r,1.0
/t,6.0
/w,124.0
Chem,1909.0
Ches,8.0
A1,1446.0
A2,735.0
A4,4.0
AA,1135.0
AB,1120.0
AC,22482.0
AD,691.0
AE,156.0
AF,30218.0
AG,4922.0
AH,22.0
AI,2516.0
AJ,18.0
AK,554.0
AM,1673868.0
AN,861.0
AO,1160.0
B0,45.0
AP,101352.0
B1,280.0
B2,116.0
AQ,40.0
AR,34857.0
B3,40.0
AS,41982.0
AT,22734.0
B5,3.0
B6,221.0
AU,17.0
AV,28470.0
AW,214.0
AX,214.0
AZ,22.0
BA,72.0
BB,12934.0
BC,5956.0
Ac,838.0
BD,162.0
BE,2886.0
BF,82.0
BG,7891.0
Af,152.0
Ag,1263.0
BH,13.0
BJ,17.0
BK,826.0
BL,3380.0
BM,19022.0
BN,6.0
BO,265.0
C0,1.0
BP,229001.0
C1,4903.0
C2,7829.0
Ap,39.0
C3,3100.0
BR,697.0
BS,47772.0
C4,4080.0
Ar,76.0
C5,4374.0
BT,157.0
C6,4266.0
BU,228.0
C7,4879.0
BV,23.0
BW,77.0
C8,60.0
Av,80.0
BX,1001.0
C9,3.0
BZ,70.0
Ay,1.0
Az,2.0
CA,23612.0
Ba,153.0
CB,38.0
CC,2616.0
Bb,11.0
CD,1240.0
Bc,115.0
CE,7764.0
Bd,35.0
CF,142.0
CG,4776.0
CH,95.0
Bg,87.0
CI,6293.0
Bi,52.0
CJ,16.0
CK,85565.0
CL,862.0
Bl,507.0
CM,2084.0
CN,9120.0
Bm,141.0
CO,4576.0
D1,2334.0
CP,21727.0
Bo,7.0
D2,903.0
Bp,5570.0
CQ,12.0
D3,1192.0
CR,3290.0
Br,833.0
CS,365.0
D4,52.0
CT,617467.0
D5,9384.0
Bs,2619.0
CU,32.0
Bt,7.0
CV,8609.0
Bu,15.0
D7,22.0
CW,130.0
CX,2001.0
D9,6.0
Bx,1173.0
CY,24.0
DA,101.0
Ca,10738.0
DB,659.0
DC,7634.0
DD,160.0
DE,48.0
Cd,3.0
DF,917.0
Ce,10.0
Cg,10.0
DH,44.0
DI,778.0
Ch,26.0
Ci,118.0
DJ,11.0
DK,15.0
Ck,694.0
DL,1105.0
Cl,4838.0
DM,26488.0
DN,16.0
DO,3292.0
Cn,321.0
DP,134475.0
Co,193.0
E1,23.0
DQ,31.0
Cp,97.0
E2,16.0
DR,16950.0
E3,6.0
Cr,149349.0
DS,2075.0
E4,17.0
DT,1176.0
Cs,87.0
E5,6.0
DU,202.0
Ct,7371.0
E6,1.0
DV,50.0
DW,78.0
Cv,80.0
DX,425.0
Cw,2.0
Cx,14785.0
DZ,121.0
Cy,3.0
Cz,4.0
EA,1343.0
Da,8.0
EB,20.0
EC,5105.0
Db,11.0
ED,121122.0
Dc,742.0
Dd,4.0
EE,16.0
EF,51021.0
EG,316.0
Df,71.0
EH,9.0
Dg,1.0
EI,30.0
EJ,1497.0
Di,41.0
EL,5.0
Dk,5.0
EM,50.0
Dm,132.0
EN,18.0
EO,88.0
Dn,1.0
EP,16331.0
F1,11.0
Dp,65.0
